tx_hash,tx_fee,tx_burnt_fee,tx_index,tx_nonce,timestamp,block_number,eth_price_usd,blob_gas_price,gas_price,gas_used,priority_fee,base_fee_per_gas,max_priority_fee_per_gas,max_fee_per_blob_gas,from_address,to_address,total_supply,token_ticker,token_amount
0x15a4cb2ca38e94f872ff3fa4219d703909c734f4deabf15a1b1c650aed49d5b3,537143757630264,515535757630264,138,97,2024-03-28T01:23:11.000000Z,19529318,3010.16,12419351077,24858559683,21608,21608000000000,23858559683,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,100,wgw,100
0x33237ca1cba77543cd814f286bf36177cfe0e99354bb1883ae28b7be4bfd367c,601089107960944,579481107960944,65,98,2024-03-28T01:24:59.000000Z,19529327,3010.16,15718241625,27817896518,21608,21608000000000,26817896518,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,200,wgw,100
0xe624a071e535e660a19bd5e8c37bf3b20dcec0d453c2e4148b425bdb10a6a6c8,592760061508632,571152061508632,75,99,2024-03-28T01:26:11.000000Z,19529333,3010.16,17002220575,27432435279,21608,21608000000000,26432435279,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,300,wgw,100
0x13adbadfb9bb24a0d21e33a6975246464821c1d3ba0d6b8d34e21706e4da3a8c,617003704633744,595395704633744,60,100,2024-03-28T01:26:47.000000Z,19529336,3010.16,20689969947,28554410618,21608,21608000000000,27554410618,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,400,wgw,100
0x744297508b9be29f1d967d64be77133e1bd11f41fa12bb235a76e1cd12397266,639592477946232,617984477946232,52,101,2024-03-28T01:27:23.000000Z,19529339,3010.16,18391084153,29599799979,21608,21608000000000,28599799979,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,500,wgw,100
0x88a6878ad0aed28e6bea0fae067c25e46395ac3e70ffd75229dd5ef10ba5d60c,635887147268024,614279147268024,78,102,2024-03-28T01:27:47.000000Z,19529341,3010.16,17002220575,29428320403,21608,21608000000000,28428320403,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,600,wgw,100
0xe5a6cad4a1274899788a92559ed0f8a839ed477ec43b4684580aec03b032c422,614462981930528,592854981930528,41,103,2024-03-28T01:29:11.000000Z,19529348,3010.16,15718241625,28436828116,21608,21608000000000,27436828116,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,700,wgw,100
0x023b34e8782079635f61b49623c74fc4f73d1204bc4a969aaa93028d0abed87e,672816243011848,651208243011848,75,104,2024-03-28T01:30:35.000000Z,19529355,3010.16,15113084750,31137367781,21608,21608000000000,30137367781,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,800,wgw,100
0x3bc3e83e394cfd7d4a9526378bb355ed9075f5c97c7ca9a49d10ab9713e3814c,633644169343024,612036169343024,68,105,2024-03-28T01:31:23.000000Z,19529359,3010.16,15113084750,29324517278,21608,21608000000000,28324517278,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,900,wgw,100
0x15d113164fb490853e0a06b02504ecbd3b2d6538af1b2209b009f115f738653d,649747582791672,628139582791672,58,106,2024-03-28T01:33:47.000000Z,19529371,3010.16,19127498403,30069769659,21608,21608000000000,29069769659,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,1000,wgw,100
0x8ca9fb6b86dd81932df5db4e01178b5437fc67baa08dc3565ea045602c18b7d7,587592249812128,565984249812128,81,107,2024-03-28T01:51:59.000000Z,19529462,3010.16,10614402037,27193273316,21608,21608000000000,26193273316,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x94A2FDdE88c3637509FA4DF0A3cCc4D0a06Faf8f,1100,wgw,100
0x15a4cb2ca38e94f872ff3fa4219d703909c734f4deabf15a1b1c650aed49d5b3,537143757630264,515535757630264,138,97,2024-03-28T01:23:11.000000Z,19529318,3023.65,12419351077,24858559683,21608,21608000000000,23858559683,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,1200,wgw,100
0x33237ca1cba77543cd814f286bf36177cfe0e99354bb1883ae28b7be4bfd367c,601089107960944,579481107960944,65,98,2024-03-28T01:24:59.000000Z,19529327,3023.65,15718241625,27817896518,21608,21608000000000,26817896518,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,1300,wgw,100
0xe624a071e535e660a19bd5e8c37bf3b20dcec0d453c2e4148b425bdb10a6a6c8,592760061508632,571152061508632,75,99,2024-03-28T01:26:11.000000Z,19529333,3023.65,17002220575,27432435279,21608,21608000000000,26432435279,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,1400,wgw,100
0x744297508b9be29f1d967d64be77133e1bd11f41fa12bb235a76e1cd12397266,639592477946232,617984477946232,52,101,2024-03-28T01:27:23.000000Z,19529339,3023.65,18391084153,29599799979,21608,21608000000000,28599799979,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,1500,wgw,100
0x13adbadfb9bb24a0d21e33a6975246464821c1d3ba0d6b8d34e21706e4da3a8c,617003704633744,595395704633744,60,100,2024-03-28T01:26:47.000000Z,19529336,3023.65,20689969947,28554410618,21608,21608000000000,27554410618,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,1600,wgw,100
0x88a6878ad0aed28e6bea0fae067c25e46395ac3e70ffd75229dd5ef10ba5d60c,635887147268024,614279147268024,78,102,2024-03-28T01:27:47.000000Z,19529341,3023.65,17002220575,29428320403,21608,21608000000000,28428320403,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,1700,wgw,100
0xe5a6cad4a1274899788a92559ed0f8a839ed477ec43b4684580aec03b032c422,614462981930528,592854981930528,41,103,2024-03-28T01:29:11.000000Z,19529348,3023.65,15718241625,28436828116,21608,21608000000000,27436828116,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,1800,wgw,100
0x3bc3e83e394cfd7d4a9526378bb355ed9075f5c97c7ca9a49d10ab9713e3814c,633644169343024,612036169343024,68,105,2024-03-28T01:31:23.000000Z,19529359,3023.65,15113084750,29324517278,21608,21608000000000,28324517278,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,1900,wgw,100
0x023b34e8782079635f61b49623c74fc4f73d1204bc4a969aaa93028d0abed87e,672816243011848,651208243011848,75,104,2024-03-28T01:30:35.000000Z,19529355,3023.65,15113084750,31137367781,21608,21608000000000,30137367781,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,2000,wgw,100
0x15d113164fb490853e0a06b02504ecbd3b2d6538af1b2209b009f115f738653d,649747582791672,628139582791672,58,106,2024-03-28T01:33:47.000000Z,19529371,3023.65,19127498403,30069769659,21608,21608000000000,29069769659,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x34f76ecEfB73315F48703F03963ee28140888888,2100,wgw,100
0x8ca9fb6b86dd81932df5db4e01178b5437fc67baa08dc3565ea045602c18b7d7,587592249812128,565984249812128,81,107,2024-03-28T01:51:59.000000Z,19529462,3023.65,10614402037,27193273316,21608,21608000000000,26193273316,1000000000,18568850011250,0xb71eb84b3Df36FB5659d9ED060e95f556659ff13,0x94A2FDdE88c3637509FA4DF0A3cCc4D0a06Faf8f,2200,wgw,100
0x4df2b6d16de2f24fa8ea4641e2cd0a0b158a2b3697cf119bdc595ae11aea14e2,592181790885416,592160198885416,174,7,2024-03-28T09:01:23.000000Z,19531585,3023.65,20689969947,27425981423,21592,21592000000,27424981423,1000000,28136917952,0xf83deD159436F1122e886676823c1408461CD0e2,0xf83deD159436F1122e886676823c1408461CD0e2,2300,wgw,100
0xc8c7fb70563889419e0c7625f5256c5b0bedcb7cc5157149179d4a69aa1e662e,734477164316912,713205164316912,68,2,2024-03-28T11:27:59.000000Z,19532311,3023.65,19893400088,34527884746,21272,21272000000000,33527884746,1000000000,74154141732,0xC7286588B2f6c23D605D1bd69981dfe934a07Abf,0x34f76ecEfB73315F48703F03963ee28140888888,2400,wgw,100
0xe6dc45c3642a4bc67627888aaf8dd9b893ecabc34abb8a64f9396516d58c1e07,843871549336624,843849957336624,130,7,2024-03-28T12:11:47.000000Z,19532528,3023.65,19893400088,39082602322,21592,21592000000,39081602322,1000000,48558823615,0xA1661Db9703EDBB58970dCc68Ea863B40caB3e1c,0xA1661Db9703EDBB58970dCc68Ea863B40caB3e1c,2500,wgw,100
0x91e69964a9b7c8ee6dd91aae363af61053a6eb159dae6538de9d737eee08a736,648751160134312,627479160134312,85,117,2024-03-28T23:46:11.000000Z,19535883,3025.9,13971770156,30497892071,21272,21272000000000,29497892071,1000000000,71394637300,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,1500,wgw,100
0xe53e70a6f6bafd253764f2484c133572ae67daa86ed9cc1417d9476cc1d8cf5a,653867954689184,632595954689184,82,120,2024-03-28T23:46:35.000000Z,19535885,3025.9,13971770156,30738433372,21272,21272000000000,29738433372,1000000000,71394637300,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,1600,wgw,100
0xf134ed51b95a0c114883e71f936f4597d50815df0a7d4424d33ce9be69850851,648751160134312,627479160134312,159,118,2024-03-28T23:46:11.000000Z,19535883,3025.9,13971770156,30497892071,21272,21272000000000,29497892071,1000000000,71394637300,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,1700,wgw,100
0xeede0494e10136a85c803ea84bf7b22e2ff82cacfaa31089f381ddd075575dc8,653867954689184,632595954689184,83,121,2024-03-28T23:46:35.000000Z,19535885,3025.9,13971770156,30738433372,21272,21272000000000,29738433372,1000000000,71394637300,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,1800,wgw,100
0x28ead84aa0db86b2ab7355ea2205dcc02df98ec2788f7c5b6ab894648def254b,653867954689184,632595954689184,81,119,2024-03-28T23:46:35.000000Z,19535885,3025.9,13971770156,30738433372,21272,21272000000000,29738433372,1000000000,71394637300,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,1900,wgw,100
0x677f4a44eecc14c26b5803093f901f146f701076d7a72220fbae976b87137da4,621076041294024,599804041294024,78,122,2024-03-28T23:46:47.000000Z,19535886,3025.9,15718241625,29196880467,21272,21272000000000,28196880467,1000000000,71394637300,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,2000,wgw,100
0x4bf40d30e0e005029052d0042055bd2d4f911cbe474f78e736031ab4da932755,621076041294024,599804041294024,79,123,2024-03-28T23:46:47.000000Z,19535886,3025.9,15718241625,29196880467,21272,21272000000000,28196880467,1000000000,71394637300,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,2100,wgw,100
0x174decbd776b60463e85bcbdef70cd520ebdf91518c1d79db6b204bde88aa3fd,621076041294024,599804041294024,81,125,2024-03-28T23:46:47.000000Z,19535886,3025.9,15718241625,29196880467,21272,21272000000000,28196880467,1000000000,71394637300,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,2200,wgw,100
0xe40280e585d4c084d992b30f1d58863d4afaea3728f82ebe7327865cb84d45e0,621076041294024,599804041294024,80,124,2024-03-28T23:46:47.000000Z,19535886,3025.9,15718241625,29196880467,21272,21272000000000,28196880467,1000000000,71394637300,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,0x0b4F7e2254b96E46E1b25bE572dA7C7730E66958,2300,wgw,100
